Bait	PreyGene	StringGene
SARS-CoV2 E	AP3B1	AP3B1
SARS-CoV2 E	BRD4	BRD4
SARS-CoV2 E	BRD2	BRD2
SARS-CoV2 E	CWC27	CWC27
SARS-CoV2 E	ZC3H18	ZC3H18
SARS-CoV2 E	SLC44A2	SLC44A2
SARS-CoV2 M	PMPCB	PMPCB
SARS-CoV2 M	YIF1A	YIF1A
SARS-CoV2 M	ATP1B1	ATP1B1
SARS-CoV2 M	ACADM	ACADM
SARS-CoV2 M	ETFA	ETFA
SARS-CoV2 M	STOM	STOM
SARS-CoV2 M	GGCX	GGCX
SARS-CoV2 M	ATP6V1A	ATP6V1A
SARS-CoV2 M	PSMD8	PSMD8
SARS-CoV2 M	REEP5	REEP5
SARS-CoV2 M	PMPCA	PMPCA
SARS-CoV2 M	ANO6	ANO6
SARS-CoV2 M	PITRM1	PITRM1
SARS-CoV2 M	SLC30A9	SLC30A9
SARS-CoV2 M	FASTKD5	FASTKD5
SARS-CoV2 M	SLC30A7	SLC30A7
SARS-CoV2 M	TUBGCP3	TUBGCP3
SARS-CoV2 M	COQ8B	ADCK4
SARS-CoV2 M	SAAL1	SAAL1
SARS-CoV2 M	REEP6	REEP6
SARS-CoV2 M	INTS4	INTS4
SARS-CoV2 M	SLC25A21	SLC25A21
SARS-CoV2 M	TUBGCP2	TUBGCP2
SARS-CoV2 M	TARS2	TARS2
SARS-CoV2 M	RTN4	RTN4
SARS-CoV2 M	FAM8A1	FAM8A1
SARS-CoV2 M	AASS	AASS
SARS-CoV2 M	AKAP8L	AKAP8L
SARS-CoV2 M	AAR2	AAR2
SARS-CoV2 M	BZW2	BZW2
SARS-CoV2 N	RRP9	RRP9
SARS-CoV2 N	PABPC1	PABPC1
SARS-CoV2 N	CSNK2A2	CSNK2A2
SARS-CoV2 N	CSNK2B	CSNK2B
SARS-CoV2 N	G3BP1	G3BP1
SARS-CoV2 N	PABPC4	PABPC4
SARS-CoV2 N	LARP1	LARP1
SARS-CoV2 N	FAM98A	FAM98A
SARS-CoV2 N	SNIP1	SNIP1
SARS-CoV2 N	UPF1	UPF1
SARS-CoV2 N	MOV10	MOV10
SARS-CoV2 N	G3BP2	G3BP2
SARS-CoV2 N	DDX21	DDX21
SARS-CoV2 N	RBM28	RBM28
SARS-CoV2 N	RPL36	RPL36
SARS-CoV2 Spike	GOLGA7	GOLGA7
SARS-CoV2 Spike	ZDHHC5	ZDHHC5
SARS-CoV2 nsp1	POLA1	POLA1
SARS-CoV2 nsp1	PRIM1	PRIM1
SARS-CoV2 nsp1	PRIM2	PRIM2
SARS-CoV2 nsp1	POLA2	POLA2
SARS-CoV2 nsp1	COLGALT1	COLGALT1
SARS-CoV2 nsp1	PKP2	PKP2
SARS-CoV2 nsp10	AP2A2	AP2A2
SARS-CoV2 nsp10	GFER	GFER
SARS-CoV2 nsp10	ERGIC1	ERGIC1
SARS-CoV2 nsp10	AP2M1	AP2M1
SARS-CoV2 nsp10	GRPEL1	GRPEL1
SARS-CoV2 nsp11	TBCA	TBCA
SARS-CoV2 nsp12	SBNO1	SBNO1
SARS-CoV2 nsp12	BCKDK	BCKDK
SARS-CoV2 nsp12	AKAP8	AKAP8
SARS-CoV2 nsp12	MYCBP2	MYCBP2
SARS-CoV2 nsp12	SLU7	SLU7
SARS-CoV2 nsp12	RIPK1	RIPK1
SARS-CoV2 nsp12	UBAP2L	UBAP2L
SARS-CoV2 nsp12	TYSND1	TYSND1
SARS-CoV2 nsp12	PDZD11	PDZD11
SARS-CoV2 nsp12	PRRC2B	PRRC2B
SARS-CoV2 nsp12	UBAP2	UBAP2
SARS-CoV2 nsp12	ZNF318	ZNF318
SARS-CoV2 nsp12	CRTC3	CRTC3
SARS-CoV2 nsp12	USP54	USP54
SARS-CoV2 nsp12	ZC3H7A	ZC3H7A
SARS-CoV2 nsp12	LARP4B	LARP4B
SARS-CoV2 nsp12	RBM41	RBM41
SARS-CoV2 nsp12	TCF12	TCF12
SARS-CoV2 nsp12	PPIL3	PPIL3
SARS-CoV2 nsp12	PLEKHA5	PLEKHA5
SARS-CoV2 nsp13	TBKBP1	TBKBP1
SARS-CoV2 nsp13	CIT	CIT
SARS-CoV2 nsp13	HSBP1	HSBP1
SARS-CoV2 nsp13	PCNT	PCNT
SARS-CoV2 nsp13	CEP43	FGFR1OP
SARS-CoV2 nsp13	PRKAR2A	PRKAR2A
SARS-CoV2 nsp13	PRKACA	PRKACA
SARS-CoV2 nsp13	PRKAR2B	PRKAR2B
SARS-CoV2 nsp13	RDX	RDX
SARS-CoV2 nsp13	CENPF	CENPF
SARS-CoV2 nsp13	TLE1	TLE1
SARS-CoV2 nsp13	TLE3	TLE3
SARS-CoV2 nsp13	TLE5	AES
SARS-CoV2 nsp13	GOLGA3	GOLGA3
SARS-CoV2 nsp13	GOLGA2	GOLGA2
SARS-CoV2 nsp13	GOLGB1	GOLGB1
SARS-CoV2 nsp13	GRIPAP1	GRIPAP1
SARS-CoV2 nsp13	CEP350	CEP350
SARS-CoV2 nsp13	PDE4DIP	PDE4DIP
SARS-CoV2 nsp13	CEP135	CEP135
SARS-CoV2 nsp13	CEP68	CEP68
SARS-CoV2 nsp13	CNTRL	CNTRL
SARS-CoV2 nsp13	ERC1	ERC1
SARS-CoV2 nsp13	GCC2	GCC2
SARS-CoV2 nsp13	CLIP4	CLIP4
SARS-CoV2 nsp13	NIN	NIN
SARS-CoV2 nsp13	CEP112	CEP112
SARS-CoV2 nsp13	MIPOL1	MIPOL1
SARS-CoV2 nsp13	USP13	USP13
SARS-CoV2 nsp13	GCC1	GCC1
SARS-CoV2 nsp13	JAKMIP1	JAKMIP1
SARS-CoV2 nsp13	CDK5RAP2	CDK5RAP2
SARS-CoV2 nsp13	AKAP9	AKAP9
SARS-CoV2 nsp13	GORASP1	GORASP1
SARS-CoV2 nsp13	FYCO1	FYCO1
SARS-CoV2 nsp13	C1orf50	C1orf50
SARS-CoV2 nsp13	CEP250	CEP250
SARS-CoV2 nsp13	TBK1	TBK1
SARS-CoV2 nsp13	HOOK1	HOOK1
SARS-CoV2 nsp13	NINL	NINL
SARS-CoV2 nsp14	GLA	GLA
SARS-CoV2 nsp14	IMPDH2	IMPDH2
SARS-CoV2 nsp14	SIRT5	SIRT5
SARS-CoV2 nsp15	NUTF2	NUTF2
SARS-CoV2 nsp15	ARF6	ARF6
SARS-CoV2 nsp15	RNF41	RNF41
SARS-CoV2 nsp2	SLC27A2	SLC27A2
SARS-CoV2 nsp2	EIF4E2	EIF4E2
SARS-CoV2 nsp2	POR	POR
SARS-CoV2 nsp2	RAP1GDS1	RAP1GDS1
SARS-CoV2 nsp2	WASHC4	KIAA1033
SARS-CoV2 nsp2	FKBP15	FKBP15
SARS-CoV2 nsp2	GIGYF2	GIGYF2
SARS-CoV2 nsp4	IDE	IDE
SARS-CoV2 nsp4	TIMM10	TIMM10
SARS-CoV2 nsp4	ALG11	ALG11
SARS-CoV2 nsp4	NUP210	NUP210
SARS-CoV2 nsp4	TIMM29	C19orf52
SARS-CoV2 nsp4	DNAJC11	DNAJC11
