DrugID	Drug_Target
CHEMBL107	4210
CHEMBL107	1621
CHEMBL107	29952
CHEMBL107	7414
CHEMBL107	6288
CHEMBL107	5243
CHEMBL107	1103
CHEMBL107	9429
CHEMBL107	10383
CHEMBL113178	5575
CHEMBL113178	7155
CHEMBL113178	32
CHEMBL113178	4548
CHEMBL113178	1491
CHEMBL113178	9563
CHEMBL113178	55829
CHEMBL113178	2876
CHEMBL113178	27430
CHEMBL113178	57697
CHEMBL113178	4144
CHEMBL113178	92935
CHEMBL113178	7157
CHEMBL113178	7153
CHEMBL113178	4141
CHEMBL1139	3274
CHEMBL1139	1395
CHEMBL1139	108
CHEMBL1139	155
CHEMBL1139	797
CHEMBL1139	2695
CHEMBL1139	799
CHEMBL1139	5742
CHEMBL1139	3360
CHEMBL1139	7432
CHEMBL1139	5743
CHEMBL1139	2778
CHEMBL1139	2740
CHEMBL1139	114
CHEMBL1139	551
CHEMBL1139	387129
CHEMBL1139	153
CHEMBL1139	5732
CHEMBL1139	6343
CHEMBL1139	3363
CHEMBL1139	5443
CHEMBL1139	5741
CHEMBL1139	133
CHEMBL1139	1392
CHEMBL1139	134864
CHEMBL1139	5746
CHEMBL1139	6344
CHEMBL1139	113091
CHEMBL1139	9340
CHEMBL1139	109
CHEMBL1139	113
CHEMBL1139	5740
CHEMBL1139	4159
CHEMBL1139	3375
CHEMBL1139	2691
CHEMBL1139	7434
CHEMBL1139	79924
CHEMBL1139	4161
CHEMBL1139	117
CHEMBL1139	3362
CHEMBL1139	154
CHEMBL1139	112
CHEMBL1139	196883
CHEMBL1139	3973
CHEMBL1139	2692
CHEMBL1139	5745
CHEMBL1139	7433
CHEMBL1139	796
CHEMBL1139	4158
CHEMBL1139	54331
CHEMBL1139	115
CHEMBL1139	5739
CHEMBL1139	135
CHEMBL1139	7253
CHEMBL1139	5729
CHEMBL1139	59350
CHEMBL1139	136
CHEMBL1139	4160
CHEMBL1139	594857
CHEMBL1139	104909134
CHEMBL1139	2642
CHEMBL1139	2492
CHEMBL1139	2641
CHEMBL1139	116
CHEMBL1139	5734
CHEMBL1139	151306
CHEMBL1139	111
CHEMBL1139	2696
CHEMBL1139	554
CHEMBL1139	5744
CHEMBL1139	1816
CHEMBL1139	107
CHEMBL1139	122042
CHEMBL1139	4157
CHEMBL1159	3764
CHEMBL1159	6833
CHEMBL1159	3767
CHEMBL1174	3674
CHEMBL1200367	43
CHEMBL1200367	590
CHEMBL1200775	2798
CHEMBL1200861	528
CHEMBL1200861	5209
CHEMBL1200861	27087
CHEMBL1200861	55662
CHEMBL1200861	54210
CHEMBL1201142	5594
CHEMBL1201142	4129
CHEMBL1201142	599
CHEMBL1201142	351
CHEMBL1201142	581
CHEMBL1201142	836
CHEMBL1201142	596
CHEMBL1201142	2668
CHEMBL1201142	4128
CHEMBL1201142	627
CHEMBL1201302	836
CHEMBL1201335	1132
CHEMBL1201335	1129
CHEMBL1201335	1131
CHEMBL1201335	1128
CHEMBL1201335	1133
CHEMBL1201479	91875
CHEMBL1201479	8192
CHEMBL1201479	5209
CHEMBL1201479	3074
CHEMBL1201479	2582
CHEMBL1201479	7372
CHEMBL1201479	5429
CHEMBL1201479	8224
CHEMBL1201479	246243
CHEMBL1201479	4144
CHEMBL1201479	112817
CHEMBL1201479	805
CHEMBL1201479	11315
CHEMBL1201479	2224
CHEMBL1201479	10020
CHEMBL1201479	5105
CHEMBL1201479	213
CHEMBL1201479	2053
CHEMBL1201479	127
CHEMBL1201479	26330
CHEMBL1201479	8424
CHEMBL1201479	10606
CHEMBL1201479	847
CHEMBL1201610	4157
CHEMBL1205	5243
CHEMBL1205	1017
CHEMBL1205	1557
CHEMBL1205	1576
CHEMBL1222250	811
CHEMBL1222250	2629
CHEMBL1222250	277
CHEMBL1222250	6524
CHEMBL1222250	2595
CHEMBL1222250	6514
CHEMBL1222250	6517
CHEMBL1222250	231
CHEMBL1222250	410
CHEMBL1222250	154091
CHEMBL1222250	23225
CHEMBL1222250	7175
CHEMBL1222250	5837
CHEMBL1222250	8086
CHEMBL1222250	23193
CHEMBL1222250	5836
CHEMBL1222250	9761
CHEMBL1222250	2645
CHEMBL1222250	10762
CHEMBL1222250	83440
CHEMBL1222250	79694
CHEMBL1222250	129401
CHEMBL1222250	2923
CHEMBL1222250	178
CHEMBL1222250	23165
CHEMBL1222250	23636
CHEMBL1222250	2548
CHEMBL1222250	2720
CHEMBL1222250	5122
CHEMBL1222250	3101
CHEMBL1222250	9688
CHEMBL1222250	3099
CHEMBL1222250	348995
CHEMBL1222250	57122
CHEMBL1222250	2992
CHEMBL1222250	5903
CHEMBL1222250	8021
CHEMBL1222250	81031
CHEMBL1222250	80201
CHEMBL1222250	9631
CHEMBL1222250	11097
CHEMBL1222250	79902
CHEMBL1222250	200010
CHEMBL1222250	23279
CHEMBL1222250	66035
CHEMBL1222250	57704
CHEMBL1222250	6518
CHEMBL1222250	155184
CHEMBL1222250	57818
CHEMBL1222250	29988
CHEMBL1222250	23511
CHEMBL1222250	2641
CHEMBL1222250	5660
CHEMBL1222250	8480
CHEMBL1222250	279
CHEMBL1222250	6513
CHEMBL1222250	8972
CHEMBL1222250	4927
CHEMBL1222250	427
CHEMBL1222250	11182
CHEMBL1222250	6515
CHEMBL1222250	8908
CHEMBL1222250	130589
CHEMBL1222250	821
CHEMBL1222250	79023
CHEMBL1222250	2538
CHEMBL1222250	7941
CHEMBL1222250	2581
CHEMBL1222250	57016
CHEMBL1222250	9972
CHEMBL1222250	11181
CHEMBL1222250	55746
CHEMBL1222250	590
CHEMBL1222250	6476
CHEMBL1222250	2646
CHEMBL1222250	56606
CHEMBL1222250	53371
CHEMBL1222250	6523
CHEMBL1222250	92579
CHEMBL1222250	3938
CHEMBL1256958	23236
CHEMBL1256958	1813
CHEMBL1256958	4886
CHEMBL1256958	1312
CHEMBL1256958	56477
CHEMBL1256958	3360
CHEMBL1256958	1902
CHEMBL1256958	387129
CHEMBL1256958	799
CHEMBL1256958	56670
CHEMBL1256958	4283
CHEMBL1256958	7204
CHEMBL1256958	5697
CHEMBL1256958	1903
CHEMBL1256958	3814
CHEMBL1256958	183
CHEMBL1256958	6582
CHEMBL1256958	6580
CHEMBL1256958	7432
CHEMBL1256958	257313
CHEMBL1256958	5996
CHEMBL1256958	64407
CHEMBL1256958	6364
CHEMBL1256958	2917
CHEMBL1256958	4889
CHEMBL1256958	2841
CHEMBL1256958	1235
CHEMBL1256958	2358
CHEMBL1256958	2913
CHEMBL1256958	554
CHEMBL1256958	283869
CHEMBL1256958	2865
CHEMBL1256958	4128
CHEMBL1256958	887
CHEMBL1256958	113
CHEMBL1256958	885
CHEMBL1256958	135
CHEMBL1256958	4987
CHEMBL1256958	1908
CHEMBL1256958	9138
CHEMBL1256958	3363
CHEMBL1256958	8811
CHEMBL1256958	5745
CHEMBL1256958	3350
CHEMBL1256958	4161
CHEMBL1256958	3579
CHEMBL1256958	2828
CHEMBL1256958	1129
CHEMBL1256958	2692
CHEMBL1256958	53829
CHEMBL1256958	6863
CHEMBL1256958	2149
CHEMBL1256958	3355
CHEMBL1256958	51289
CHEMBL1256958	2837
CHEMBL1256958	5179
CHEMBL1256958	5021
CHEMBL1256958	1237
CHEMBL1256958	7433
CHEMBL1256958	338398
CHEMBL1256958	57121
CHEMBL1256958	53637
CHEMBL1256958	1395
CHEMBL1256958	6000
CHEMBL1256958	11255
CHEMBL1256958	6344
CHEMBL1256958	50865
CHEMBL1256958	8484
CHEMBL1256958	2696
CHEMBL1256958	4985
CHEMBL1256958	100462981
CHEMBL1256958	2691
CHEMBL1256958	2797
CHEMBL1256958	9002
CHEMBL1256958	2847
CHEMBL1256958	54429
CHEMBL1256958	50832
CHEMBL1256958	50831
CHEMBL1256958	1236
CHEMBL1256958	2864
CHEMBL1256958	2867
CHEMBL1256958	8698
CHEMBL1256958	50836
CHEMBL1256958	718
CHEMBL1256958	50835
CHEMBL1256958	50839
CHEMBL1256958	5732
